date,region,price
1993-01-25,East Coast,1.049
1993-01-25,Gulf Coast,1.046
1993-01-25,Midwest,1.006
1993-01-25,Rocky Mountain,1.119
1993-01-25,U.S. Average,1.055
1993-01-25,West Coast,1.209
1993-02-01,East Coast,1.048
1993-02-01,Gulf Coast,1.043
1993-02-01,Midwest,1.012
1993-02-01,Rocky Mountain,1.106
1993-02-01,U.S. Average,1.055
1993-02-01,West Coast,1.204
1993-02-08,East Coast,1.047
1993-02-08,Gulf Coast,1.044
1993-02-08,Midwest,1.033
1993-02-08,Rocky Mountain,1.099
1993-02-08,U.S. Average,1.062
1993-02-08,West Coast,1.197
1993-02-15,East Coast,1.042
1993-02-15,Gulf Coast,1.038
1993-02-15,Midwest,1.019
1993-02-15,Rocky Mountain,1.086
1993-02-15,U.S. Average,1.053
1993-02-15,West Coast,1.189
1993-02-22,East Coast,1.037
1993-02-22,Gulf Coast,1.033
1993-02-22,Midwest,1.008
1993-02-22,Rocky Mountain,1.078
1993-02-22,U.S. Average,1.047
1993-02-22,West Coast,1.189
1993-03-01,East Coast,1.034
1993-03-01,Gulf Coast,1.027
1993-03-01,Midwest,1.003
1993-03-01,Rocky Mountain,1.084
1993-03-01,U.S. Average,1.042
1993-03-01,West Coast,1.178
1993-03-08,East Coast,1.031
1993-03-08,Gulf Coast,1.043
1993-03-08,Midwest,1.02
1993-03-08,Rocky Mountain,1.08
1993-03-08,U.S. Average,1.048
1993-03-08,West Coast,1.165
1993-03-15,East Coast,1.036
1993-03-15,Gulf Coast,1.052
1993-03-15,Midwest,1.039
1993-03-15,Rocky Mountain,1.081
1993-03-15,U.S. Average,1.058
1993-03-15,West Coast,1.162
1993-03-22,East Coast,1.036
1993-03-22,Gulf Coast,1.056
1993-03-22,Midwest,1.031
1993-03-22,Rocky Mountain,1.108
1993-03-22,U.S. Average,1.056
1993-03-22,West Coast,1.157
1993-03-29,East Coast,1.036
1993-03-29,Gulf Coast,1.055
1993-03-29,Midwest,1.036
1993-03-29,Rocky Mountain,1.103
1993-03-29,U.S. Average,1.057
1993-03-29,West Coast,1.152
1993-04-05,Central Atlantic,1.068
1993-04-05,East Coast,1.04
1993-04-05,Gulf Coast,1.064
1993-04-05,Lower Atlantic,1.023
1993-04-05,Midwest,1.061
1993-04-05,New England,1.068
1993-04-05,Rocky Mountain,1.093
1993-04-05,U.S. Average,1.068
1993-04-05,West Coast,1.152
1993-04-12,Central Atlantic,1.072
1993-04-12,East Coast,1.047
1993-04-12,Gulf Coast,1.071
1993-04-12,Lower Atlantic,1.032
1993-04-12,Midwest,1.077
1993-04-12,New England,1.073
1993-04-12,Rocky Mountain,1.118
1993-04-12,U.S. Average,1.079
1993-04-12,West Coast,1.154
1993-04-19,Central Atlantic,1.077
1993-04-19,East Coast,1.054
1993-04-19,Gulf Coast,1.081
1993-04-19,Lower Atlantic,1.04
1993-04-19,Midwest,1.067
1993-04-19,New England,1.074
1993-04-19,Rocky Mountain,1.12
1993-04-19,U.S. Average,1.079
1993-04-19,West Coast,1.155
1993-04-26,Central Atlantic,1.08
1993-04-26,East Coast,1.059
1993-04-26,Gulf Coast,1.081
1993-04-26,Lower Atlantic,1.046
1993-04-26,Midwest,1.078
1993-04-26,New England,1.076
1993-04-26,Rocky Mountain,1.169
1993-04-26,U.S. Average,1.086
1993-04-26,West Coast,1.157
1993-05-03,Central Atlantic,1.084
1993-05-03,East Coast,1.062
1993-05-03,Gulf Coast,1.084
1993-05-03,Lower Atlantic,1.05
1993-05-03,Midwest,1.073
1993-05-03,New England,1.08
1993-05-03,Rocky Mountain,1.161
1993-05-03,U.S. Average,1.086
1993-05-03,West Coast,1.161
1993-05-10,Central Atlantic,1.09
1993-05-10,East Coast,1.069
1993-05-10,Gulf Coast,1.088
